date,description,amount,type,year,category,confidence,reasoning
1 February,Card payment - High St Petrol Station,24.5,debit,2019,Other,0.8,It appears to be a fuel purchase
1 February,Direct debit - Green Mobile Phone Bill,20.0,debit,2019,Utilities,0.95,Mobile phone bill is a utility expense
3 February,"Cash Withdrawal - YourBank, Anytown High Street, timed 17:30 31 Jan",30.0,debit,2019,Other,0.8,It's a cash withdrawal
4 February,YourJob BiWeekly Payment,2575.0,credit,2019,Income,1.0,It's a biweekly payment from an employer
11 February,"Direct Deposit - YourBank, Anytown High Street, timed 17:30 31 Jan",300.0,credit,2019,Income,1.0,It's a direct deposit transaction.
16 February,"Cash Withdrawal - RandomBank, Randomford, timed 9.52 14 Feb",50.0,debit,2019,Other,0.8,It's an unknown debit transaction
17 February,Card payment - High St Petrol Station,40.0,debit,2019,Other,0.8,It appears to be a fuel purchase
17 February,Direct Debit - Home Insurance,78.34,debit,2019,Other,0.95,Home insurance is a personal expense
18 February,YourJob BiWeekly Payment,2575.0,credit,2019,Income,1.0,It's a biweekly payment to the account
18 February,Randomford's Deli,15.0,debit,2019,Meals,0.95,Transaction is at a deli
24 February,Anytown's Jewelers,150.0,debit,2019,Other,0.8,Jewelers is not a standard business expense category
24 February,Direct Deposit,25.0,credit,2019,Income,1.0,It's a direct deposit credit transaction
28 February,Monthly Apartment Rent,987.33,debit,2019,Rent,0.99,Transaction is a monthly apartment rent payment
